"filename", "language", "JavaScript", "YAML", "Markdown", "JSON with Comments", "PostCSS", "TypeScript", "vue", "JSON", "HTML", "Docker", "SVG", "Shell Script", "XML", "comment", "blank", "total"
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/Footer.vue", "vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 3, 22
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/Header.vue", "vue", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 3, 41
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/HorizontalStepper.vue", "vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 4, 37
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/LoadingState.vue", "vue", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/NewCardForm.vue", "vue", 0, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 6, 33, 332
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/PaymentButtons.vue", "vue", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/PaymentGrandTotal.vue", "vue", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 4, 11, 99
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/PlanSummary.vue", "vue", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 23, 151
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/SavedCardDisplay.vue", "vue", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 3, 15, 147
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/SavedCardListItem.vue", "vue", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 61
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/TermsAcceptance.vue", "vue", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/components/VerticalStepper.vue", "vue", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 4, 5, 103
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/config/paths.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 24, 6, 43
"/Users/tekoracle/Desktop/OTUTU/frontend/packages/card-payment/src/layouts/default.vue", "vue", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
